sale_id,invoice_no,sale_date,store_id,customer_id,product_id,quantity,unit_price,cost_price,discount_pct,total_amount
1001,INV-2025-12-27-0001,12/27/2025,7,603,9,1,2500,1380,0.00,2500
1002,INV-2024-10-24-0002,10/24/2024,7,559,12,5,1200,855,0.10,5400
1003,INV-2025-04-08-0003,4/8/2025,8,661,12,5,1200,727,0.10,5400
1004,INV-2023-07-12-0004,7/12/2023,5,653,11,4,1500,1047,0.05,5700
1005,INV-2023-09-25-0005,9/25/2023,5,513,7,3,400,248,0.00,1200
1006,INV-2025-02-02-0006,2/2/2025,6,537,6,7,500,277,0.10,3150
1007,INV-2024-04-14-0007,4/14/2024,7,629,4,6,1500,1110,0.05,8550
1008,INV-2024-03-10-0008,3/10/2024,6,506,3,2,600,399,0.10,1080
1009,INV-2025-08-11-0009,8/11/2025,4,611,16,7,900,635,0.00,6300
1010,INV-2024-07-23-0010,7/23/2024,7,570,11,3,1500,1058,0.00,4500
1011,INV-2025-12-17-0011,12/17/2025,7,538,2,4,1200,808,0.10,4320
1012,INV-2025-08-29-0012,8/29/2025,7,613,17,2,2200,1263,0.15,3740
1013,INV-2025-07-30-0013,7/30/2025,8,612,14,7,1200,780,0.10,7560
1014,INV-2025-10-25-0014,10/25/2025,1,654,17,1,2200,1442,0.15,1870
1015,INV-2024-07-11-0015,7/11/2024,1,615,20,1,4500,3313,0.00,4500
1016,INV-2025-08-17-0016,8/17/2025,6,638,9,6,2500,1469,0.15,12750
1017,INV-2025-04-03-0017,4/3/2025,1,642,5,8,700,401,0.00,5600
1018,INV-2023-10-19-0018,10/19/2023,2,667,4,5,1500,1123,0.00,7500
1019,INV-2023-12-24-0019,12/24/2023,6,548,9,6,2500,1602,0.00,15000
1020,INV-2025-02-06-0020,2/6/2025,8,610,9,4,2500,1412,0.15,8500
1021,INV-2025-11-21-0021,11/21/2025,4,694,3,8,600,433,0.00,4800
1022,INV-2025-01-19-0022,1/19/2025,3,539,4,6,1500,836,0.10,8100
1023,INV-2024-08-13-0023,8/13/2024,2,557,14,3,1200,807,0.00,3600
1024,INV-2025-01-09-0024,1/9/2025,8,675,16,2,900,511,0.05,1710
1025,INV-2025-11-03-0025,11/3/2025,6,637,7,7,400,250,0.10,2520
1026,INV-2024-10-07-0026,10/7/2024,5,680,20,4,4500,3100,0.00,18000
1027,INV-2023-09-20-0027,9/20/2023,3,697,19,8,850,475,0.05,6460
1028,INV-2024-10-31-0028,10/31/2024,6,530,20,6,4500,2752,0.00,27000
1029,INV-2024-02-25-0029,2/25/2024,6,518,10,7,1800,1062,0.00,12600
1030,INV-2024-08-27-0030,8/27/2024,7,662,12,7,1200,727,0.00,8400
1031,INV-2024-01-15-0031,1/15/2024,2,630,12,7,1200,716,0.00,8400
1032,INV-2024-10-25-0032,10/25/2024,5,573,3,8,600,357,0.15,4080
1033,INV-2025-07-19-0033,7/19/2025,7,600,20,4,4500,2879,0.00,18000
1034,INV-2025-06-03-0034,6/3/2025,6,594,10,8,1800,1227,0.05,13680
1035,INV-2024-08-01-0035,8/1/2024,4,575,1,7,650,406,0.05,4322.5
1036,INV-2025-09-14-0036,9/14/2025,5,600,11,2,1500,1071,0.00,3000
1037,INV-2023-07-23-0037,7/23/2023,8,640,7,2,400,283,0.00,800
1038,INV-2025-02-10-0038,2/10/2025,6,596,1,3,650,418,0.10,1755
1039,INV-2024-09-21-0039,9/21/2024,6,544,16,1,900,670,0.00,900
1040,INV-2025-06-06-0040,6/6/2025,4,602,18,2,750,562,0.00,1500
1041,INV-2025-10-14-0041,10/14/2025,7,619,7,4,400,260,0.00,1600
1042,INV-2025-03-19-0042,3/19/2025,2,632,3,1,600,350,0.05,570
1043,INV-2025-08-28-0043,8/28/2025,2,670,14,8,1200,697,0.10,8640
